symbol,market_variable,sentiment_variable,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
AMD,Return,sentiment_mean_highly_influential,0.34659840255834035,0.004359239707646014,0.45772317843197124,0.00011146820365426798
AMD,Return,sentiment_mean_influential,0.18427994033301712,0.13855038247447796,0.2783211389118914,0.023647925332765805
AMD,Return,sentiment_mean_regular,0.4311014875403599,0.0003019394983005286,0.5404085211495814,2.8180573391792132e-06
AMD,Return,bullish_ratio_top_influencer,0.3009045957210728,0.014086804063688216,0.35318922434257516,0.003627286276486777
AMD,Return,bearish_ratio_top_influencer,-0.3128485511306315,0.010540254491979357,-0.4337724154668905,0.00027421266244620523
AMD,Volatility_20d,sentiment_mean_highly_influential,-0.49343358221061523,2.556953061618586e-05,-0.40776962500525044,0.0006777122414714334
AMD,Volatility_20d,sentiment_mean_influential,-0.5095458782632395,1.2447560094978968e-05,-0.4954959670022309,2.3365741997582467e-05
AMZN,Close,sentiment_mean_top_influencer,0.45919392637003703,1.8328731645948905e-05,0.43241089126594434,6.187086978126127e-05
AMZN,Close,sentiment_mean_highly_influential,0.6387724201081262,1.825077999605108e-10,0.6662017394208047,1.5402387119902342e-11
AMZN,Close,sentiment_mean_influential,0.3429898265603632,0.001842123232450693,0.37773623244818033,0.000551684480435815
AMZN,Close,sentiment_mean_regular,0.4521216548081505,2.5525516202802746e-05,0.4360143469337242,5.283834509916351e-05
AMZN,Close,bullish_ratio_top_influencer,0.4267626683528355,7.895362845981375e-05,0.39780579177944697,0.00025807007690887635
AMZN,Close,bearish_ratio_top_influencer,-0.42382725289433226,8.946786127084187e-05,-0.40895051864595555,0.00016568624779182714
AMZN,Return,sentiment_mean_top_influencer,0.37264003661895706,0.0006640249869026752,0.4835350311215269,5.5333779915614004e-06
AMZN,Return,sentiment_mean_highly_influential,0.3460448700408465,0.0016656850138368267,0.4695464642040282,1.1136529023376498e-05
AMZN,Return,sentiment_mean_influential,0.21943141574130082,0.050503925894546206,0.37013854792992706,0.0007264729483455448
AMZN,Return,sentiment_mean_regular,0.34010534410991056,0.0020239823443352466,0.4578246884584802,1.9553751221386316e-05
AMZN,Return,bullish_ratio_top_influencer,0.35785110248092133,0.0011181300860650984,0.42721177786182246,7.744993338813733e-05
AMZN,Return,bearish_ratio_top_influencer,-0.3329220784131057,0.0025490282434962874,-0.4729587183790156,9.416246887884373e-06
AMZN,Volatility_20d,sentiment_mean_top_influencer,-0.311742672617215,0.004878636076247819,-0.17784159177793493,0.11451092666522587
AMZN,Volatility_20d,sentiment_mean_highly_influential,-0.3662982160120478,0.0008328050696704105,-0.31837174826324904,0.004001053169386692
AMZN,Volatility_20d,sentiment_mean_regular,-0.27974293307657144,0.011967228228691503,-0.20123891643992953,0.07345914624430491
AMZN,Volatility_20d,bullish_ratio_top_influencer,-0.2543989217599404,0.022773903864042225,-0.1406301281493126,0.213414340488146
AMZN,Volatility_20d,bearish_ratio_top_influencer,0.32149100017443666,0.0036390501210403336,0.2148650871525585,0.0556221217604302
AMZN,Volume,sentiment_mean_top_influencer,-0.3608788113044403,0.0010070002093077852,-0.475060802501251,8.483913038894556e-06
AMZN,Volume,sentiment_mean_influential,-0.29580421189793304,0.007721456207335973,-0.3653210502036872,0.000862029925879724
AMZN,Volume,sentiment_mean_regular,-0.28755177860982895,0.009700288187944493,-0.34427103813114385,0.0017661757650269385
AMZN,Volume,bullish_ratio_top_influencer,-0.3193975469689778,0.0038786158563530538,-0.418960101731041,0.00010979940643707582
AMZN,Volume,bearish_ratio_top_influencer,0.34836803236365854,0.001541881649719602,0.46740277209619896,1.2363277130129508e-05
AVGO,Close,sentiment_mean_top_influencer,0.3862161433754799,0.0011419952835020628,0.3920442082065101,0.0009451207650670083
AVGO,Close,sentiment_mean_highly_influential,0.17898239930104845,0.14418438907005862,0.2633156485839314,0.030041384279323534
AVGO,Close,bullish_ratio_top_influencer,0.34257480256399087,0.004241126968428006,0.3413523689125209,0.004388700183258521
AVGO,Close,bearish_ratio_top_influencer,-0.4059572803382122,0.0005931658075592923,-0.4102349068537929,0.0005119143047667245
AVGO,Return,sentiment_mean_top_influencer,0.2521024209681627,0.03808161682339516,0.2193357517368346,0.07231838284482757
AVGO,Return,sentiment_mean_influential,0.17529474688512667,0.1559399197061373,0.3167803900915839,0.009006694020840337
AVGO,Return,sentiment_mean_regular,0.35267387146791385,0.0031806795482718694,0.48548602713963185,2.71258308435857e-05
AVGO,Return,bearish_ratio_top_influencer,-0.26775425201193254,0.02727919673312562,-0.23818755321891022,0.05046740035510339
AVGO,Volatility_20d,sentiment_mean_top_influencer,-0.35942236660533255,0.0026106865098337916,-0.33714449420657117,0.00493204142004255
AVGO,Volatility_20d,bullish_ratio_top_influencer,-0.31888791501410063,0.008038525205983998,-0.3003665978509209,0.012820252240916203
AVGO,Volatility_20d,bearish_ratio_top_influencer,0.377706270348628,0.0014962388144280892,0.3617876840499192,0.002433651442915227
AVGO,Volume,sentiment_mean_top_influencer,-0.18659395655049454,0.1276132796482496,-0.2803015850888013,0.02060227206836266
AVGO,Volume,bullish_ratio_top_influencer,-0.213157449528729,0.08093755002153882,-0.2997747236751404,0.013006879770417232
BABA,Close,sentiment_mean_top_influencer,0.4939935523873612,8.119830831053603e-05,0.4930708298668303,8.41216362084824e-05
BABA,Close,sentiment_mean_highly_influential,0.4420417957126062,0.0005127326752750978,0.42630567489826465,0.0008476821513744827
BABA,Close,sentiment_mean_influential,0.4008672743521386,0.0018185788335945245,0.41020791673528184,0.0013835491380282884
BABA,Close,sentiment_mean_regular,0.5900335776920147,1.092171789250033e-06,0.512912007689442,3.84322532061624e-05
BABA,Close,bullish_ratio_top_influencer,0.4737332274054179,0.0001725633479916877,0.47783214154911124,0.00014871393767231948
BABA,Close,bearish_ratio_top_influencer,-0.4942100295833272,8.052613953050023e-05,-0.5004768359931364,6.314946556427302e-05
BABA,Return,sentiment_mean_top_influencer,0.31968541601127715,0.014436291333321596,0.2845453428195073,0.030400950548507052
BABA,Return,sentiment_mean_highly_influential,0.31239272620409775,0.016967689635306843,0.21936437010377197,0.09802968775074823
BABA,Return,sentiment_mean_influential,0.47462262862077853,0.00016710950696283228,0.5807047776986543,1.764644616899696e-06
BABA,Return,sentiment_mean_regular,0.4957739516580918,7.582001633751206e-05,0.5380971423298164,1.3219523549702193e-05
