symbol,market_variable,sentiment_variable,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
4CHAN-USD,Close,sentiment_mean_top_influencer,,,,
4CHAN-USD,Close,sentiment_mean_highly_influential,,,,
4CHAN-USD,Close,sentiment_mean_influential,,,,
4CHAN-USD,Close,sentiment_mean_regular,,,,
4CHAN-USD,Close,bullish_ratio_top_influencer,,,,
4CHAN-USD,Close,bearish_ratio_top_influencer,,,,
4CHAN-USD,Return,sentiment_mean_top_influencer,,,,
4CHAN-USD,Return,sentiment_mean_highly_influential,,,,
4CHAN-USD,Return,sentiment_mean_influential,,,,
4CHAN-USD,Return,sentiment_mean_regular,,,,
4CHAN-USD,Return,bullish_ratio_top_influencer,,,,
4CHAN-USD,Return,bearish_ratio_top_influencer,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_top_influencer,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_highly_influential,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_influential,,,,
4CHAN-USD,Volatility_20d,sentiment_mean_regular,,,,
4CHAN-USD,Volatility_20d,bullish_ratio_top_influencer,,,,
AAL,Volatility_20d,bullish_ratio_top_influencer,-0.20653311720110926,0.028178863996086025,-0.2639656074402385,0.004726849198447975
AAL,Volatility_20d,bearish_ratio_top_influencer,0.21250592193051707,0.023838168420618044,0.2795926309884041,0.002707637589991913
AAL,Volume,sentiment_mean_top_influencer,-0.238748734314275,0.005648209401582612,-0.25263858212020995,0.003348244266825533
AAL,Volume,sentiment_mean_highly_influential,0.22821439828116913,0.00901539621493365,0.275864411733596,0.0014888942893109267
AAL,Volume,sentiment_mean_influential,-0.2893243533067214,0.0009698290287076734,-0.39036202568987516,5.706010734584357e-06
AAL,Volume,sentiment_mean_regular,-0.05523697602127665,0.5277181212230614,-0.054615633311421365,0.5323787066331354
AAL,Volume,bullish_ratio_top_influencer,-0.245999471075487,0.004314240060353014,-0.2541207004719099,0.0031612014661755857
AAL,Volume,bearish_ratio_top_influencer,0.2066505157789504,0.017008035121902774,0.21378972153059603,0.013477049966398317
AAPL,Close,sentiment_mean_top_influencer,0.4012419376192935,0.0002718904027558776,0.42050354708582555,0.00012651436869918312
AAPL,Close,sentiment_mean_highly_influential,0.05323812395160479,0.6434190600164318,0.11780773414533602,0.3043103218923073
AAPL,Close,sentiment_mean_influential,-0.3291014202192063,0.0034723701651960697,-0.2669103010111598,0.01894747577240524
AAPL,Close,sentiment_mean_regular,-0.09084146595957247,0.42895892981217915,-0.06293746087874057,0.5840919016160537
AAPL,Close,bullish_ratio_top_influencer,0.372857897299135,0.0007739915492726568,0.39091288458377066,0.0004022174997424657
AAPL,Close,bearish_ratio_top_influencer,-0.3792170917884061,0.0006172482459553705,-0.4139160794373847,0.00016520888072246509
